id	subject	item	tasktype	translation_type	len_sl_chr	len_tl_chr	len_sl_wrd	len_tl_wrd	edit_time	k_total	k_letter	k_digit	k_white	k_symbol	k_nav	k_erase	k_copy	k_cut	k_paste	k_do	np_300	lp_300	np_1000	lp_1000	ev_time_ms	num_annotations
wbreaker-031-mt1-9	T5	wbreaker-0319	mt1	pe	19	27	3	5	24.481	43	11	0	0	1	24	7	0	0	0	0	10	15922	7	14553	24481	2
wbreaker-031-mt1-10	T5	wbreaker-03110	mt1	pe	30	41	5	9	32.967	104	18	0	4	0	55	27	0	0	0	0	15	26676	6	21650	32967	1
wbreaker-032-mt2-1	T5	wbreaker-0321	mt2	pe	23	27	3	6	382.049	31	1	0	0	0	27	3	0	0	0	0	4	379812	4	379812	382049	1
wbreaker-032-mt2-2	T5	wbreaker-0322	mt2	pe	43	44	9	7	34.218	72	9	0	0	0	46	17	0	0	0	0	12	22739	4	18151	34218	1
wbreaker-032-mt2-3	T5	wbreaker-0323	mt2	pe	42	42	8	6	26.145	75	9	0	0	1	50	15	0	0	0	0	12	20416	6	17428	26145	1
wbreaker-032-mt2-4	T5	wbreaker-0324	mt2	pe	21	28	5	6	54.287	86	18	0	5	0	50	13	0	0	0	0	30	43787	14	35239	54287	2
wbreaker-032-mt2-5	T5	wbreaker-0325	mt2	pe	71	74	12	14	58.258	119	10	0	2	2	82	23	0	0	0	0	17	54624	9	50430	58258	1
wbreaker-032-mt2-6	T5	wbreaker-0326	mt2	pe	53	50	9	11	82.627	65	15	0	3	0	40	7	0	0	0	0	15	77902	3	72561	82627	1
wbreaker-032-mt2-7	T5	wbreaker-0327	mt2	pe	94	152	16	27	279.066	366	91	0	18	2	170	85	0	0	0	0	109	247544	29	206433	279066	2
wbreaker-032-mt2-8	T5	wbreaker-0328	mt2	pe	43	38	8	6	27.945	50	4	0	0	1	27	18	0	0	0	0	10	23249	4	19777	27945	1
wbreaker-032-mt2-9	T5	wbreaker-0329	mt2	pe	44	41	9	8	27.426	80	7	0	0	2	54	17	0	0	0	0	12	22205	6	19012	27426	1
wbreaker-032-mt2-10	T5	wbreaker-03210	mt2	pe	111	104	17	18	86.019	221	39	0	6	2	113	61	0	0	0	0	46	76375	9	57496	86019	1
wbreaker-033-ht-1	T5	wbreaker-0331	ht	ht	65	46	12	10	49.768	78	43	0	12	3	9	11	0	0	0	0	27	30860	5	18100	49768	1
wbreaker-033-ht-2	T5	wbreaker-0332	ht	ht	81	76	13	12	40.782	94	63	0	11	2	18	0	0	0	0	0	17	24587	5	18982	40782	1
wbreaker-033-ht-3	T5	wbreaker-0333	ht	ht	82	85	16	13	46.635	101	71	0	13	4	11	2	0	0	0	0	30	33493	6	20979	46635	1
wbreaker-033-ht-4	T5	wbreaker-0334	ht	ht	39	30	8	5	13.905	30	24	0	4	2	0	0	0	0	0	0	8	7495	1	3961	13905	1
wbreaker-033-ht-5	T5	wbreaker-0335	ht	ht	43	54	8	11	52.613	119	44	0	11	2	60	2	0	0	0	0	22	41859	7	33580	52613	1
wbreaker-033-ht-6	T5	wbreaker-0336	ht	ht	127	111	26	20	100.482	174	104	0	23	6	20	21	0	0	0	0	49	67728	14	49247	100482	2
wbreaker-033-ht-7	T5	wbreaker-0337	ht	ht	90	90	19	14	63.996	125	72	0	13	6	33	1	0	0	0	0	32	44213	8	30377	63996	2
wbreaker-033-ht-8	T5	wbreaker-0338	ht	ht	36	57	6	12	43.264	85	55	0	12	4	0	14	0	0	0	0	31	31141	5	18620	43264	1
wbreaker-033-ht-9	T5	wbreaker-0339	ht	ht	63	71	13	13	45.788	107	67	0	14	4	9	13	0	0	0	0	31	30939	7	18265	45788	1
wbreaker-033-ht-10	T5	wbreaker-03310	ht	ht	33	31	7	7	19.011	49	31	0	7	2	0	9	0	0	0	0	13	9694	4	4794	19011	1
wbreaker-001-mt2-1	T6	wbreaker-0011	mt2	pe	49	41	7	6	86.345	88	35	0	5	0	0	48	0	0	0	0	8	73548	1	70063	86345	1
wbreaker-001-mt2-2	T6	wbreaker-0012	mt2	pe	60	74	8	15	132.126	127	47	0	11	2	16	51	0	0	0	0	18	114954	6	107829	132126	1
wbreaker-001-mt2-3	T6	wbreaker-0013	mt2	pe	43	32	9	6	19.266	29	3	0	1	0	11	14	0	0	0	0	6	8297	2	6110	19266	1
wbreaker-001-mt2-4	T6	wbreaker-0014	mt2	pe	106	95	19	19	45.048	57	18	0	5	2	5	27	0	0	0	0	10	27956	4	23548	45048	1
wbreaker-001-mt2-5	T6	wbreaker-0015	mt2	pe	85	94	16	16	176.791	117	45	0	7	2	5	58	0	0	0	0	18	156493	7	151056	176791	1
